Frame,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16
10,"(25.633250881662136, 140.87973652677547)","(9.602933481132165, 148.39875000285363)","(84.53445743059211, 131.11204044448607)","(144.66991798892994, 84.93575344139077)","(187.55881705542248, 109.96439171849696)","(211.84840103627639, 103.50316051184116)","(227.17467856940274, 104.27452570755614)","(204.02099637696358, 60.97581827716737)","(208.40091902377105, 69.68276697605852)","(298.49473294736345, 74.05167068845505)","(349.4013463194976, 74.47567811917102)","(358.03443955354237, 60.22241270296444)","(350.7887917038965, 46.93826724503045)","(354.75276997281264, 39.33254957145801)","(377.5117247480978, 46.80142684240996)","(419.17848363019306, 40.25393799977315)","(428.1333668781265, 41.63710294517351)"
11,"(25.62639200319657, 140.88621117874558)","(9.598103445434399, 148.40528034400197)","(84.56488825831168, 131.10562449695922)","(144.6704994982107, 84.91395967676478)","(187.56483139862425, 109.95666126751644)","(211.8509504278438, 103.51224379241175)","(227.1219601609245, 104.2588342198413)","(203.9492100593665, 60.95463510274465)","(208.37912021254928, 69.67765157742518)","(298.494116125377, 74.05761109606928)","(349.3185425253603, 74.51479542041517)","(357.9726034825605, 60.19552835342925)","(350.7874587184111, 46.934853155931755)","(354.7382239347915, 39.32954707139158)","(377.50753497000994, 46.77038637568259)","(419.1336827204059, 40.13369401726802)","(428.1364744016072, 41.62069451894115)"
12,"(25.63244598152517, 140.8859902264916)","(9.596800450739428, 148.41213355256068)","(84.56179299555964, 131.09740247528086)","(144.63362088931427, 84.92087695711889)","(187.55352970145205, 109.95461055583692)","(211.84054676189763, 103.50900620360773)","(227.13464433766057, 104.26227992877625)","(203.9620435467413, 60.877712847933815)","(208.4271959915229, 69.68729756707445)","(298.4790322882909, 74.0731105490081)","(349.3317944503376, 74.44038153807982)","(358.02659585261875, 60.22045435394529)","(350.7848916603949, 46.94266471834878)","(354.7302764936947, 39.3156718819728)","(377.50273018140535, 46.78660105976486)","(419.1562416931895, 40.22700413603349)","(428.1120075194209, 41.63017369760094)"
13,"(25.62005907212358, 140.8855664709715)","(9.595378936527434, 148.40354850510104)","(84.57607481127343, 131.11223329453583)","(144.66610544479525, 84.9167884133933)","(187.55067161051335, 109.96087702229188)","(211.84476548564123, 103.51212410960194)","(227.1576522383298, 104.26446962921531)","(204.02597191159794, 60.95507281279191)","(208.35449806861362, 69.69726108899216)","(298.4934935350779, 74.08584372539318)","(349.3799197484631, 74.50141176487081)","(358.03183518110586, 60.21628623750874)","(350.78622485296034, 46.94427372530181)","(354.7360817154296, 39.33585838124235)","(377.53960142783853, 46.7719990259413)","(419.1944270468716, 40.17071430248087)","(428.13251132634605, 41.654112551554135)"
14,"(25.626727182483837, 140.89874627367436)","(9.597941275470603, 148.40942125544763)","(84.57935838957724, 131.10847133424195)","(144.660253466931, 84.92319369845637)","(187.5598947632317, 109.96899833947121)","(211.83994613710297, 103.52127446871083)","(227.16996688696022, 104.28491297184961)","(203.9558107884621, 60.93880100009242)","(208.40795600556643, 69.70078032269647)","(298.48471000294205, 74.07540689868482)","(349.39500273750093, 74.47169240329886)","(358.0179384154924, 60.21554734515723)","(350.7848194228876, 46.94703551755435)","(354.73946773346296, 39.32832301994957)","(377.50711835234074, 46.80529067601851)","(419.14568743563404, 40.251691231791845)","(428.12129252195774, 41.65490211878453)"
15,"(25.613567783963905, 140.90851229711288)","(9.58805112588146, 148.4178843714903)","(84.5813719464103, 131.10460528176677)","(144.61970778005318, 84.92160403741944)","(187.54768663802358, 109.96752812463349)","(211.83607107526922, 103.52545758782702)","(227.1504656422489, 104.26817660772394)","(203.90871890308975, 60.9048813941425)","(208.40770452514346, 69.69491579405832)","(298.4795189112753, 74.07272374054048)","(349.3931167658104, 74.48753975403298)","(358.0284428289818, 60.23436886354104)","(350.7723163572009, 46.95060222264003)","(354.7294633025807, 39.318631949349346)","(377.4795082899062, 46.80553569722197)","(419.15726587325935, 40.23318860375778)","(428.12051743635186, 41.651252939862104)"
16,"(25.61791230358522, 140.91141758937496)","(9.599969174570276, 148.42075192139257)","(84.57498538830419, 131.11868229253153)","(144.66952602588634, 84.93497721475754)","(187.5444663221294, 109.97281322757954)","(211.8291277319443, 103.53121950606783)","(227.1453226425976, 104.29041298812254)","(203.98792918058425, 60.96400136581406)","(208.38365703386603, 69.72312059370321)","(298.4863857273457, 74.07932743455666)","(349.39301480761003, 74.47801837161383)","(358.01980098254177, 60.24038630809279)","(350.7781071347695, 46.95386423637452)","(354.72978124652883, 39.34388686451155)","(377.4874507209347, 46.80064099056431)","(419.13226164760863, 40.20910787431726)","(428.13583761466117, 41.65158497838611)"
17,"(25.608083454387017, 140.90758208168668)","(9.584369105041569, 148.4292645102719)","(84.56605421692393, 131.10275857164447)","(144.63751469239352, 84.94067793748295)","(187.5440152158716, 109.97701246438487)","(211.8340045220797, 103.53369244701328)","(227.14794564658237, 104.28599743918177)","(204.02110514884143, 60.87432593984158)","(208.40799910166513, 69.71866479144357)","(298.479678608855, 74.07970275741889)","(349.2978852235656, 74.49304881180552)","(358.02201145492995, 60.23192662304209)","(350.7713545418839, 46.956005068976154)","(354.7378394052889, 39.34614945498855)","(377.49872679818344, 46.81061397556182)","(419.16964575461327, 40.211499517540155)","(428.12333260587974, 41.626106474298616)"
18,"(25.61431850237184, 140.92789467732885)","(9.581291210323428, 148.43119412419728)","(84.56689373664967, 131.1112331309176)","(144.64100055769447, 84.94335819401302)","(187.54480120062598, 109.98315072637718)","(211.83441393866661, 103.54254074730753)","(227.10449631938434, 104.28316042070671)","(203.96649944223088, 60.94356103318984)","(208.37200965478658, 69.72568642730786)","(298.4759855760193, 74.08088807453781)","(349.3250935649513, 74.49335260432463)","(358.0178155650654, 60.227436740482965)","(350.81136007408577, 46.96676834073064)","(354.73039535030097, 39.35156987013013)","(377.47782253909577, 46.808811016311516)","(419.1156856050259, 40.20184672463018)","(428.0935072781905, 41.66797490201826)"
19,"(25.60328853127726, 140.91982557155674)","(9.574607569098461, 148.4391686253996)","(84.56059178441723, 131.11843822660146)","(144.64514215396662, 84.93955786945632)","(187.52999309408642, 109.98721664570235)","(211.83660512790405, 103.54416230074227)","(226.8798946399904, 104.32792821383393)","(203.9518687352321, 60.898991995669135)","(208.3887212333237, 69.72619546346789)","(298.46990112337386, 74.09264622012833)","(349.3507740600641, 74.48437351279084)","(358.0319082473939, 60.25396893317301)","(350.76640523510576, 46.96456418693229)","(354.7286716073867, 39.353634524610825)","(377.48500422383296, 46.80079896043996)","(419.13500136677675, 40.265947099022746)","(428.10713706100375, 41.64935804166407)"
20,"(25.609642302637443, 140.9294748295418)","(9.579337348285193, 148.43652349868634)","(84.55019926866706, 131.10355830447017)","(144.63345738826226, 84.94300465377553)","(187.5391028343141, 109.98681221403785)","(211.82755316868273, 103.54327331142414)","(227.1449048574573, 104.2672199706648)","(203.96930481726773, 60.92377997833046)","(208.38486032712515, 69.72690465185069)","(298.47819261655854, 74.09295881215557)","(349.336976125126, 74.48566150671667)","(358.01444384686647, 60.24113698836592)","(350.7645798696479, 46.96897065168374)","(354.7180606971218, 39.35910816526704)","(377.48417818556527, 46.81317898449034)","(419.01961862043675, 40.175879052368956)","(428.0432706954545, 41.633967847732215)"
21,"(25.6041061959682, 140.9422361870556)","(9.58206874855505, 148.44843277709802)","(84.56151155568904, 131.10665315420695)","(144.62784775156314, 84.95441784809694)","(187.53355695556334, 109.99818916794761)","(211.8191476966352, 103.55722056950415)","(227.0608775076991, 104.38264674497675)","(203.9563513992664, 60.88349082136051)","(208.38526299030858, 69.73408632180606)","(298.47959972304255, 74.09680810013924)","(349.27138600007015, 74.49607274249182)","(358.01724783032785, 60.23852109647208)","(350.76066597762383, 46.96888561805872)","(354.7130956549258, 39.352304367847154)","(377.4806880061946, 46.80997535095932)","(419.16395231945154, 40.25311552348987)","(428.1037213798152, 41.63171900766052)"
22,"(25.610893282579315, 140.94344499947033)","(9.578112637387646, 148.45848285061007)","(84.5434967241173, 131.10811512273807)","(144.61124542502756, 84.95372639254899)","(187.53059777228327, 109.99856810028231)","(211.81732572818376, 103.55471554217209)","(227.10739018309553, 104.26846705782287)","(203.94790327839203, 60.88822392262759)","(208.37823096425768, 69.72958575671288)","(298.4596554187923, 74.10649212288529)","(349.3376677181417, 74.51429266703583)","(358.01010083849314, 60.24586723362433)","(350.75368148334354, 46.97222400027061)","(354.6996136272991, 39.36696186335575)","(377.46810128144216, 46.80644963105157)","(419.1127040380797, 40.27230665065459)","(428.09306426194206, 41.67881630156157)"
23,"(25.610929584121237, 140.94909643009154)","(9.577388794320367, 148.45397897139333)","(84.54049173053113, 131.09828762903305)","(144.63199776259924, 84.971624027385)","(187.5289990108723, 110.00805169134715)","(211.818651705376, 103.5658767787615)","(227.08991995280593, 104.31542520430777)","(203.94357505558054, 60.99655564419421)","(208.4011817461493, 69.7650562647263)","(298.46128459632257, 74.10454845577638)","(349.39333395746553, 74.51520891697176)","(358.00914208279846, 60.235567431978374)","(350.7554175963018, 46.977060533357616)","(354.7056119081141, 39.36169225518608)","(377.47269799813694, 46.83345948440319)","(419.1239465906934, 40.27127634752542)","(428.0897913068925, 41.67700537414557)"
24,"(25.600587059671085, 140.95890078310887)","(9.572428166984006, 148.4642903186137)","(84.53072054615225, 131.0947936791189)","(144.60625049240858, 84.94384744747983)","(187.5194511193523, 110.0163417871813)","(211.80689133726273, 103.56279586162061)","(227.1327118770873, 104.3042874497197)","(203.97216311373265, 60.9169894130619)","(208.37847057646658, 69.74610878047321)","(298.4602406304984, 74.10738193994877)","(349.3209414458906, 74.54819977733708)","(358.0014442980134, 60.259719285158866)","(350.7540004482323, 46.980011009037455)","(354.6924070382801, 39.35228818021767)","(377.45517547880604, 46.82960486018875)","(419.1378497126086, 40.227337174977635)","(428.11700149036636, 41.689838208194175)"
25,"(25.60331991246651, 140.9575344945805)","(9.567667835137598, 148.46346654562933)","(84.52370775034551, 131.08671414897947)","(144.61147704013433, 84.95882164491941)","(187.51807116732627, 110.01193260365837)","(211.8157323154324, 103.56488244831868)","(227.10957301029845, 104.30031437981145)","(203.92997555544258, 60.921430963638784)","(208.38909038346765, 69.75240636908161)","(298.4695369557787, 74.1196729482326)","(349.3482700932751, 74.52374537077763)","(357.997629150582, 60.25453470289691)","(350.7505128230885, 46.9810726382869)","(354.70763998520613, 39.369037472435004)","(377.520540729829, 46.892100847305265)","(419.1377852338678, 40.26243076272563)","(428.11183187182644, 41.68200621029872)"
26,"(25.597239486393757, 140.95853763091125)","(9.599633382891346, 148.44142641610003)","(84.51579657313631, 131.08735021168548)","(144.60598670521313, 84.97270914372402)","(187.52615201504193, 110.01178070369728)","(211.81421806793568, 103.57249583099377)","(227.13963813592235, 104.32347472401322)","(203.9423051748503, 60.97832033954201)","(208.33824473428612, 69.75489182409201)","(298.452680963623, 74.1182574245679)","(349.3257311727037, 74.5300021413108)","(358.01158543449037, 60.24642743375277)","(350.74495784935743, 46.9872486067671)","(354.7074328153199, 39.384995456999484)","(377.47102735204084, 46.84739373655483)","(419.1796788000087, 40.268935657709996)","(428.09322336048047, 41.68720314843311)"
27,"(25.596805938194038, 140.9603755696779)","(9.565312194027388, 148.48301089760926)","(84.50991199224062, 131.09700709876236)","(144.6053450887888, 84.97898437984497)","(187.5225792565115, 110.02163634304193)","(211.80928354877543, 103.56815234746874)","(227.1296878201396, 104.33977754803475)","(203.89813521044633, 60.96524656371894)","(208.35871377723615, 69.7588283198128)","(298.4513468266554, 74.12278922733947)","(349.3152482822109, 74.50841906625229)","(357.9862232578182, 60.269839580293706)","(350.74541533942323, 46.99130331014383)","(354.6921796469742, 39.37535001713113)","(377.4593611126502, 46.829660795664005)","(419.12357962180863, 40.25426039916498)","(428.10647579613556, 41.681884794889015)"
28,"(25.58703387857383, 140.96120520698196)","(9.561962210284126, 148.48919085078398)","(84.49639671819725, 131.07872841824909)","(144.62058070364841, 84.99284289251231)","(187.52244338491977, 110.02668598282206)","(211.80155619181346, 103.58003321386592)","(227.12620858655484, 104.32380470182848)","(203.91085813780464, 61.020843612780595)","(208.38213365037353, 69.77227162761459)","(298.4464817833115, 74.11557418831427)","(349.3049544306871, 74.53394696352348)","(357.96232918140623, 60.26423565821873)","(350.74546140532067, 46.994076889757615)","(354.7262687172391, 39.37835703557769)","(377.4465766736389, 46.82278641856966)","(419.1355808831877, 40.22944428229625)","(428.0779930219996, 41.69736960617827)"
29,"(25.599405725800647, 140.9819287673811)","(9.565934760198942, 148.48481664513747)","(84.48860197640222, 131.07899856122927)","(144.6140740595088, 84.986512600375)","(187.50928913008605, 110.02813266992939)","(211.80107193361974, 103.5815433458962)","(227.14825437898696, 104.31240167376538)","(203.99307579132923, 61.02192959322377)","(208.3755694426363, 69.76615647484256)","(298.4483321386137, 74.12475524012416)","(349.3528556189934, 74.55763478482866)","(357.9862769775485, 60.2810258133474)","(350.73812064339035, 46.99965650061577)","(354.6969680207908, 39.4051499246802)","(377.4602475135009, 46.84796928751741)","(419.10913565265486, 40.22835320981697)","(428.0865137418729, 41.668579573664786)"
30,"(25.600709575429168, 140.97927916926773)","(9.565361693007233, 148.48808151244623)","(84.48541935250739, 131.0745541574993)","(144.59333054944352, 85.02429420010601)","(187.5044289641651, 110.03257767362042)","(211.8018971031755, 103.5877253167168)","(227.10238186022224, 104.33467033388503)","(204.0038256396569, 61.003781956276676)","(208.35895684491103, 69.78263354030568)","(298.4450890625016, 74.12550760556974)","(349.3303326454939, 74.52580427771981)","(357.9962668863696, 60.259129523681615)","(350.7337786773886, 47.0015613452273)","(354.6923378771559, 39.37931117131334)","(377.4575355154055, 46.857773607488866)","(419.1178783155401, 40.295310617324446)","(428.0916035327188, 41.684986172189326)"
31,"(25.591825801138295, 140.98773345566454)","(9.567791451322528, 148.51466021926595)","(84.47077614973318, 131.06910722538623)","(144.61466289479472, 84.99056224343687)","(187.501300526057, 110.03651273895696)","(211.80429467126706, 103.59249234373438)","(227.09505300494916, 104.32715381280126)","(203.96567998412579, 61.03660504143183)","(208.35539049073566, 69.78682586424172)","(298.4446301339381, 74.13363194580275)","(349.3354804046423, 74.57003878736026)","(357.9886321962301, 60.266260120578394)","(350.73803858299993, 46.98174803945549)","(354.6798859239984, 39.3944554699558)","(377.45404497073406, 46.85336279790938)","(419.15933797769134, 40.27173210503359)","(428.0746737901044, 41.67132196529266)"
32,"(25.593296634650077, 140.9978099950516)","(9.55594724134775, 148.50586921941)","(84.45372196123833, 131.0513440532293)","(144.60642499356882, 85.0094405377719)","(187.5081964454436, 110.04369147089584)","(211.787570456327, 103.55917755693734)","(227.1442118585839, 104.32537259410277)","(203.90614211589875, 61.08956893350663)","(208.3763357236187, 69.7842750556815)","(298.4206465264549, 74.1474618771206)","(349.347183467179, 74.57363261401609)","(357.9877856730078, 60.28393907972019)","(350.72770094725956, 47.01072064246362)","(354.68851144043566, 39.399779847001746)","(377.4443520279116, 46.86587112660143)","(419.08091060612963, 40.26712497129861)","(428.07935478897446, 41.71165594167493)"
33,"(25.581774131010985, 141.0003360372852)","(9.554116643517123, 148.5062417225819)","(84.45300808237884, 131.06211816079673)","(144.60093816638445, 84.99410275718621)","(187.50408254709888, 110.04318302869203)","(211.7951160220106, 103.60777723748309)","(227.10161561590948, 104.33757874576474)","(203.936712676639, 60.99745117613945)","(208.3214372253684, 69.79983529201762)","(298.44062513841516, 74.13492552883223)","(349.3478443353189, 74.52965804681989)","(357.9639335624724, 60.28410739652219)","(350.72824088001613, 47.004187075591574)","(354.6870037822399, 39.398297198923885)","(377.439357727145, 46.83611761280888)","(419.1161595909099, 40.25504157033664)","(428.0731601368388, 41.705825779530144)"
34,"(25.632881889700545, 140.87475670206442)","(9.606172382863162, 148.37435164176924)","(84.47770099897714, 130.98867654535655)","(144.62300715116916, 84.86386652581233)","(187.56226888991057, 109.92641084776697)","(211.84567048449253, 103.48776420644968)","(227.1583358225083, 104.24995893728497)","(203.98919453073708, 60.84575856702662)","(208.36874052527898, 69.67347308133442)","(298.50161266040584, 74.02549516548206)","(349.3414887394974, 74.48793958889193)","(358.0415857762709, 60.21057436203421)","(350.785425123226, 46.91582413558899)","(354.734205943516, 39.30974210129876)","(377.5016924495882, 46.76470894245791)","(419.0448477784241, 40.186108252866134)","(428.1333551806034, 41.643597729934875)"
35,"(25.628822227473062, 140.86481693147564)","(9.607371241748055, 148.36127296220337)","(84.48287691248348, 130.9880130372298)","(144.6253758961723, 84.88489387343354)","(187.55843931982446, 109.91657971209753)","(211.84955008461412, 103.4812361841051)","(227.13620367779114, 104.23300834985048)","(203.97729754214083, 60.81375620019048)","(208.39912475979983, 69.66322529660076)","(298.502815210111, 74.02778713377789)","(349.3799073176232, 74.4603759089556)","(358.0582521057801, 60.190731639842554)","(350.79418293581233, 46.90527533385322)","(354.7419709694196, 39.29692127267799)","(377.4913331641123, 46.74489797435876)","(419.09360818197905, 40.176556981864046)","(428.11886088319386, 41.62640456425956)"
36,"(25.638389441342362, 140.8696132275027)","(9.599975579461535, 148.3690462165608)","(84.48371224683943, 130.98655698554535)","(144.42351508547932, 84.84724009118838)","(187.5603340645667, 109.91907818261174)","(211.84225033856228, 103.48344417376583)","(227.13987551188174, 104.21980833476411)","(204.01084656339356, 60.84467942759444)","(208.4009340966972, 69.6621179970627)","(298.4967084778967, 74.02833788409525)","(349.3766641622884, 74.42252574677886)","(358.0357802150263, 60.196215087687875)","(350.79037152766455, 46.91048672917811)","(354.75505127163296, 39.29972719760673)","(377.5195823295312, 46.764438220124084)","(419.1411520890731, 40.19452784187232)","(428.1323685813988, 41.59809035407325)"
37,"(25.636914691013324, 140.86889707489854)","(9.601337978690902, 148.3766205060238)","(84.4655543720023, 130.98083450511947)","(144.6344114061476, 84.890145964783)","(187.56513008158376, 109.92296219259019)","(211.839591178418, 103.48612679491723)","(227.27210158175978, 104.21791435303234)","(203.95376593207078, 60.8896797235728)","(208.40889552269073, 69.66468032977656)","(298.50342683620835, 74.02097737689432)","(349.34295943125403, 74.4425763004241)","(358.04194405763457, 60.192252978801)","(350.7911175239035, 46.91296011424206)","(354.74901234580204, 39.31031395421442)","(377.5105784580008, 46.77041509084383)","(419.1828713850026, 40.18613149331742)","(428.14991573096484, 41.60650831924137)"
38,"(25.631066834634105, 140.87936236289514)","(9.597341438118661, 148.3758698663195)","(84.49145766257386, 130.98725133439046)","(144.62320862385104, 84.87913524713635)","(187.55745418593042, 109.9233117061065)","(211.8426647707, 103.48912221098011)","(227.1541652471092, 104.25116555284866)","(204.0252582316109, 60.888121346966535)","(208.4017061641571, 69.67496269431146)","(298.5027607026462, 74.04671400193793)","(349.3372294174664, 74.4509417689189)","(358.01215155575784, 60.20698519682596)","(350.7879204713977, 46.91447569610674)","(354.756524325721, 39.30935431855513)","(377.50196177314615, 46.74967119521273)","(419.15561657260025, 40.20902623975409)","(428.11420924033746, 41.62291591402255)"
39,"(25.616557631750553, 140.89226852341304)","(9.59528279347755, 148.38458387734107)","(84.48302783033834, 130.9878204858673)","(144.58332478738632, 84.86210687498668)","(187.5135785436394, 109.93811676337559)","(211.82281093595662, 103.49174289205476)","(227.114450734886, 104.25487515125299)","(203.98553777041215, 60.8680162673527)","(208.3693944981439, 69.67696703832348)","(298.48190718190745, 74.05008913981717)","(349.3507447461659, 74.45630452376844)","(358.0154644743288, 60.20744279784352)","(350.7840926583075, 46.92075466008107)","(354.7372516292721, 39.31689527037247)","(377.4972122491088, 46.804208484685816)","(419.1992019126675, 40.16131098231503)","(428.12939188392244, 41.62112937568232)"
40,"(25.63013684307468, 140.8888834289212)","(9.58982562416419, 148.3891194247827)","(84.47631009337826, 130.98143687158296)","(144.63480023841208, 84.90522812709136)","(187.55271239400787, 109.935218242197)","(211.83559437049595, 103.50214757891666)","(227.19836806491307, 104.2476060507356)","(203.9468216319154, 60.93592658958068)","(208.3875551225266, 69.65476340563966)","(298.49330250006284, 74.0410953231609)","(349.32353260058613, 74.45564840769022)","(358.04102238983774, 60.19094194590982)","(350.7777216033674, 46.91863889327377)","(354.73046847513723, 39.32806642623536)","(377.50146827202497, 46.77855401838814)","(419.1474416909153, 40.21813462640788)","(428.1481791380478, 41.62338557962787)"
41,"(25.618811424604388, 140.8920974657561)","(9.589452070387111, 148.38677658160705)","(84.47443790638124, 130.98012811838322)","(144.61699143494224, 84.91354089508614)","(187.54137850908592, 109.93294029850051)","(211.83477668249628, 103.49965597495381)","(227.13633257343173, 104.24470108772613)","(203.97176400899335, 60.853239151582144)","(208.40077689091575, 69.69422365970338)","(298.47303564902177, 74.04861638635197)","(349.34831742661027, 74.49003225347525)","(358.0259865473639, 60.20986979611952)","(350.77514589969866, 46.92396307699434)","(354.7323348828244, 39.3191039946257)","(377.50884005777715, 46.77796744026376)","(419.14637688032747, 40.22674112263385)","(428.14132634316684, 41.64331684665981)"
